grid_n,points,tau,band,deny,abstain,allow,monotonicity,violations
11,1331,0.550000,0.000000,788,13,530,PASS,0
11,1331,0.550000,0.030000,711,163,457,PASS,0
11,1331,0.550000,0.050000,659,262,410,PASS,0
11,1331,0.550000,0.080000,585,397,349,PASS,0
11,1331,0.600000,0.000000,910,2,419,PASS,0
11,1331,0.600000,0.030000,838,144,349,PASS,0
11,1331,0.600000,0.050000,788,238,305,PASS,0
11,1331,0.600000,0.080000,711,366,254,PASS,0
11,1331,0.620000,0.000000,955,5,371,PASS,0
11,1331,0.620000,0.030000,886,140,305,PASS,0
11,1331,0.620000,0.050000,838,229,264,PASS,0
11,1331,0.620000,0.080000,762,352,217,PASS,0
11,1331,0.650000,0.000000,1019,7,305,PASS,0
11,1331,0.650000,0.030000,955,129,247,PASS,0
11,1331,0.650000,0.050000,910,210,211,PASS,0
11,1331,0.650000,0.080000,839,326,166,PASS,0
11,1331,0.700000,0.000000,1113,1,217,PASS,0
11,1331,0.700000,0.030000,1059,106,166,PASS,0
11,1331,0.700000,0.050000,1019,174,138,PASS,0
11,1331,0.700000,0.080000,955,271,105,PASS,0
